graph,ordering,n,nnz,avg_deg,graph_fingerprint,triangles,t_masked_gustavson_ms,t_edge_merge_ms,t_edge_gallop_ms,t_edge_finger_ms,t_cf_gallop_ms,t_cf_finger_ms,rewind_rate_edge_finger,rewind_rate_cf_finger,t_edge_finger_par_ms,t_cf_finger_par_ms,threads,counts_all_equal
data/roadNet-CA.txt,natural,1965206,5533214,2.81559,c0d6898a551b5f71,120676,797.946,452.132,501.299,636.688,580.619,748.336,0.301332,0.0970578,-1,-1,1,1
data/roadNet-CA.txt,rcm,1965206,5533214,2.81559,2b2dc7048d669b1d,120676,931.182,418.574,473.316,611.734,565.951,745.66,0.340433,0.0631623,-1,-1,1,1
data/roadNet-CA.txt,degree,1965206,5533214,2.81559,f463019820d39d25,120676,1204.15,571.255,617.859,806.744,584.401,749.301,0.442078,0.0970578,-1,-1,1,1
data/email-Enron.txt,natural,36692,367662,10.0202,e020b121d9c2b4d3,727044,1216.31,542.167,391.908,418.63,108.271,120.131,0.806213,0.761098,-1,-1,1,1
data/email-Enron.txt,rcm,36692,367662,10.0202,e38608b47f89367c,727044,1241.18,711.92,396.815,411.822,108.209,120.287,0.845184,0.760199,-1,-1,1,1
data/email-Enron.txt,degree,36692,367662,10.0202,74f834feab920ee2,727044,1369.7,747.176,467.044,489.319,108.248,120.303,0.865289,0.761098,-1,-1,1,1
gen:band:20000:16,natural,20000,639728,31.9864,b30d25a2bad1087d,2398640,310.08,164.827,164.927,180.279,88.2632,105.159,0.937477,0.875047,-1,-1,1,1
gen:band:20000:16,rcm,20000,639728,31.9864,b30d25a2bad1087d,2398640,310.221,165.163,165.304,180.465,88.2857,105.433,0.937477,0.875047,-1,-1,1,1
gen:band:20000:16,degree,20000,639728,31.9864,ad0635daa09b2cdc,2398640,309.472,164.838,165.346,180.475,88.3817,105.281,0.93748,0.875047,-1,-1,1,1
gen:ba:20000:8,natural,20000,319122,15.9561,fa917d3836e2f882,10435,563.721,227.673,212.905,236.622,58.4194,70.0845,0.874662,0.762247,-1,-1,1,1
gen:ba:20000:8,rcm,20000,319122,15.9561,111d911aeab252f1,10435,527.999,227.775,183.288,202.242,58.3518,70.8261,0.890236,0.760198,-1,-1,1,1
gen:ba:20000:8,degree,20000,319122,15.9561,48cbb89653758b18,10435,561.416,237.845,205.906,221.886,58.3838,70.272,0.90786,0.762247,-1,-1,1,1
