graph,ordering,n,nnz,avg_deg,graph_fingerprint,triangles,t_masked_gustavson_ms,t_edge_merge_ms,t_edge_gallop_ms,t_edge_finger_ms,t_cf_gallop_ms,t_cf_finger_ms,rewind_rate_edge_finger,rewind_rate_cf_finger,t_edge_finger_par_ms,t_cf_finger_par_ms,threads,counts_all_equal
data/roadNet-CA.txt,natural,1965206,5533214,2.81559,c0d6898a551b5f71,120676,72.1895,39.7199,39.1718,49.5299,32.9464,36.7425,0.301332,0.0970578,-1,-1,1,1
data/roadNet-CA.txt,rcm,1965206,5533214,2.81559,2b2dc7048d669b1d,120676,70.0601,32.1254,32.8195,38.6822,29.3451,32.7334,0.340433,0.0631623,-1,-1,1,1
data/roadNet-CA.txt,degree,1965206,5533214,2.81559,f463019820d39d25,120676,73.0449,44.2802,45.9695,57.377,32.635,36.7676,0.442078,0.0970578,-1,-1,1,1
data/email-Enron.txt,natural,36692,367662,10.0202,e020b121d9c2b4d3,727044,63.4625,57.2162,58.2062,60.958,14.5673,16.9232,0.806213,0.761098,-1,-1,1,1
data/email-Enron.txt,rcm,36692,367662,10.0202,e38608b47f89367c,727044,90.1256,73.3058,60.9526,63.1209,14.6083,16.9588,0.845184,0.760199,-1,-1,1,1
data/email-Enron.txt,degree,36692,367662,10.0202,74f834feab920ee2,727044,90.3098,77.4445,66.6215,67.0848,14.3089,16.8427,0.865289,0.761098,-1,-1,1,1
