graph,ordering,n,nnz,avg_deg,graph_fingerprint,triangles,t_masked_gustavson_ms,t_edge_merge_ms,t_edge_gallop_ms,t_edge_finger_ms,t_cf_gallop_ms,t_cf_finger_ms,rewind_rate_edge_finger,rewind_rate_cf_finger,t_edge_finger_par_ms,t_cf_finger_par_ms,threads,counts_all_equal
data/email-Enron.txt,natural,36692,367662,10.0202,e020b121d9c2b4d3,727044,63.3768,61.6783,57.6341,60.0495,14.1533,16.5558,0.806213,0.761098,54.082,13.717,8,1
data/email-Enron.txt,rcm,36692,367662,10.0202,e38608b47f89367c,727044,89.8978,71.9546,59.955,63.0251,14.1901,16.5676,0.845184,0.760199,29.7837,13.6322,8,1
data/email-Enron.txt,degree,36692,367662,10.0202,74f834feab920ee2,727044,90.1523,75.6295,66.5734,68.2077,14.5584,16.5968,0.865289,0.761098,61.1482,14.0375,8,1
gen:ba:20000:8,natural,20000,319122,15.9561,fa917d3836e2f882,10435,23.1648,23.3958,24.0927,25.8526,6.05363,7.7825,0.874662,0.762247,19.1078,1.74408,8,1
gen:ba:20000:8,rcm,20000,319122,15.9561,111d911aeab252f1,10435,22.4528,25.0102,22.9363,25.0147,5.99,7.60496,0.890236,0.760198,3.80867,1.71042,8,1
gen:ba:20000:8,degree,20000,319122,15.9561,48cbb89653758b18,10435,22.4114,25.6373,24.8626,26.5204,6.18775,7.48375,0.90786,0.762247,8.21696,1.76908,8,1
