graph,ordering,n,nnz,avg_deg,graph_fingerprint,triangles,t_masked_gustavson_ms,t_edge_merge_ms,t_edge_gallop_ms,t_edge_finger_ms,t_cf_gallop_ms,t_cf_finger_ms,rewind_rate_edge_finger,rewind_rate_cf_finger,t_edge_finger_par_ms,t_cf_finger_par_ms,threads,counts_all_equal
data/email-Enron.txt,natural,36692,367662,10.0202,e020b121d9c2b4d3,727044,63.2338,57.71,57.8871,60.2377,14.4161,16.737,0.806213,0.761098,10.0887,3.06658,8,1
data/email-Enron.txt,rcm,36692,367662,10.0202,e38608b47f89367c,727044,90.1296,72.8251,60.4374,63.3298,14.4595,16.815,0.845184,0.760199,9.63087,3.07254,8,1
data/email-Enron.txt,degree,36692,367662,10.0202,74f834feab920ee2,727044,90.171,75.9701,66.3807,68.5718,14.6998,16.7338,0.865289,0.761098,10.5906,3.1565,8,1
gen:ba:20000:8,natural,20000,319122,15.9561,fa917d3836e2f882,10435,23.192,25.2476,24.1239,25.8374,5.93479,7.56258,0.874662,0.762247,6.38325,1.67762,8,1
gen:ba:20000:8,rcm,20000,319122,15.9561,111d911aeab252f1,10435,22.4143,25.3601,22.9506,25.107,6.06163,7.74787,0.890236,0.760198,3.77933,1.59617,8,1
gen:ba:20000:8,degree,20000,319122,15.9561,48cbb89653758b18,10435,22.4809,25.6573,25.1631,26.5342,6.24454,7.48158,0.90786,0.762247,3.968,1.69667,8,1
