graph,ordering,n,nnz,avg_deg,graph_fingerprint,triangles,t_masked_gustavson_ms,t_edge_merge_ms,t_edge_gallop_ms,t_edge_finger_ms,t_cf_gallop_ms,t_cf_finger_ms,rewind_rate_edge_finger,rewind_rate_cf_finger,t_edge_finger_par_ms,t_cf_finger_par_ms,threads,counts_all_equal
data/email-Enron.txt,natural,36692,367662,10.0202,e020b121d9c2b4d3,727044,63.359,57.5388,58.422,60.2347,14.5216,16.5461,0.806213,0.761098,47.1435,2.96738,8,1
data/email-Enron.txt,rcm,36692,367662,10.0202,e38608b47f89367c,727044,89.9963,73.3087,60.3252,62.7088,14.3456,16.6007,0.845184,0.760199,10.4116,2.99971,8,1
data/email-Enron.txt,degree,36692,367662,10.0202,74f834feab920ee2,727044,90.086,75.8517,65.8663,67.8418,14.6063,16.7093,0.865289,0.761098,9.4945,3.08229,8,1
gen:ba:20000:8,natural,20000,319122,15.9561,fa917d3836e2f882,10435,23.1895,23.4215,24.4486,25.8014,6.12721,7.67387,0.874662,0.762247,16.0636,1.64821,8,1
gen:ba:20000:8,rcm,20000,319122,15.9561,111d911aeab252f1,10435,22.4633,25.1139,22.9925,25.1593,6.06346,7.69512,0.890236,0.760198,3.834,1.62538,8,1
gen:ba:20000:8,degree,20000,319122,15.9561,48cbb89653758b18,10435,22.438,25.7541,24.8093,26.598,6.16533,7.64442,0.90786,0.762247,3.67588,1.55163,8,1
