graph,ordering,n,nnz,avg_deg,triangles,t_masked_gustavson_ms,t_edge_merge_ms,t_edge_gallop_ms,t_edge_finger_ms,t_cf_gallop_ms,t_cf_finger_ms,rewind_rate_edge_finger,rewind_rate_cf_finger,t_edge_finger_par_ms,t_cf_finger_par_ms,threads,counts_all_equal
data/email-Enron.txt,natural,36692,367662,10.0202,727044,63.329,58.6667,57.4871,60.9053,14.4742,16.5433,0.806213,0.761098,54.9411,14.1435,8,1
data/email-Enron.txt,rcm,36692,367662,10.0202,727044,91.123,73.0455,60.4562,62.8812,14.3718,16.4669,0.846669,0.760282,37.9799,13.7615,8,1
data/email-Enron.txt,degree,36692,367662,10.0202,727044,90.0868,76.4553,66.0435,67.5845,14.3172,16.3038,0.865289,0.761098,60.8935,13.8825,8,1
gen:ba:20000:8,natural,20000,319032,15.9516,9894,23.4217,23.1534,23.4255,24.9981,6.08179,7.52975,0.874627,0.767393,18.9228,1.95008,8,1
gen:ba:20000:8,rcm,20000,319032,15.9516,9894,22.4103,25.3312,23.3471,24.4648,5.86817,7.596,0.890356,0.765777,3.85779,1.74196,8,1
gen:ba:20000:8,degree,20000,319032,15.9516,9894,22.5556,25.1556,24.2542,25.8897,6.28367,7.68354,0.907664,0.767393,8.11054,1.7995,8,1
