graph,ordering,n,nnz,avg_deg,triangles,t_masked_gustavson_ms,t_edge_merge_ms,t_edge_gallop_ms,t_edge_finger_ms,t_cf_gallop_ms,t_cf_finger_ms,rewind_rate_edge_finger,rewind_rate_cf_finger,t_edge_finger_par_ms,t_cf_finger_par_ms,threads,counts_all_equal
data/email-Enron.txt,natural,36692,367662,10.0202,727044,63.6598,59.8854,58.7985,60.8335,14.4606,16.4965,0.806213,0.761098,10.0616,3.09196,8,1
data/email-Enron.txt,rcm,36692,367662,10.0202,727044,91.3921,73.6548,60.4932,63.5001,14.5399,16.8572,0.846669,0.760282,9.32075,3.06079,8,1
data/email-Enron.txt,degree,36692,367662,10.0202,727044,90.1033,73.7215,65.2021,67.976,14.1952,16.4089,0.865289,0.761098,10.6265,3.20967,8,1
gen:ba:20000:8,natural,20000,319032,15.9516,9894,23.1959,24.3107,23.9295,25.1302,6.35175,7.69987,0.874627,0.767393,6.19454,1.77108,8,1
gen:ba:20000:8,rcm,20000,319032,15.9516,9894,22.5042,25.7487,22.3897,24.3648,6.17871,7.65058,0.890356,0.765777,3.67313,1.79046,8,1
gen:ba:20000:8,degree,20000,319032,15.9516,9894,22.4754,25.7956,24.5663,26.0139,6.21046,7.84063,0.907664,0.767393,4.02046,1.84196,8,1
