graph,ordering,n,nnz,avg_deg,triangles,t_masked_gustavson_ms,t_edge_merge_ms,t_edge_gallop_ms,t_edge_finger_ms,t_cf_gallop_ms,t_cf_finger_ms,rewind_rate_edge_finger,rewind_rate_cf_finger,t_edge_finger_par_ms,t_cf_finger_par_ms,threads,counts_all_equal
data/email-Enron.txt,natural,36692,367662,10.0202,727044,63.6735,58.5254,57.7453,61.0636,14.6649,16.8604,0.806213,0.761098,47.9596,2.99087,8,1
data/email-Enron.txt,rcm,36692,367662,10.0202,727044,91.3874,73.4472,61.0149,63.4973,14.6981,16.911,0.846669,0.760282,8.85567,3.05463,8,1
data/email-Enron.txt,degree,36692,367662,10.0202,727044,90.3676,72.8945,64.9977,68.7837,14.2024,16.445,0.865289,0.761098,9.50463,3.09742,8,1
gen:ba:20000:8,natural,20000,319032,15.9516,9894,23.0765,23.5751,23.6795,25.3665,6.08788,7.53946,0.874627,0.767393,16.4764,1.76225,8,1
gen:ba:20000:8,rcm,20000,319032,15.9516,9894,22.4563,25.3761,22.8396,24.5565,6.20171,7.76762,0.890356,0.765777,3.68196,1.73513,8,1
gen:ba:20000:8,degree,20000,319032,15.9516,9894,22.4277,25.8839,24.3384,25.9579,6.04317,7.74592,0.907664,0.767393,3.71504,1.83371,8,1
