graph,ordering,n,nnz,avg_deg,triangles,t_masked_gustavson_ms,t_edge_merge_ms,t_edge_gallop_ms,t_edge_finger_ms,t_cf_gallop_ms,t_cf_finger_ms,rewind_rate_edge_finger,rewind_rate_cf_finger,t_edge_finger_par_ms,t_cf_finger_par_ms,threads,counts_all_equal
data/roadNet-CA.txt,natural,1965206,5533214,2.81559,120676,798.478,453.474,502.008,636.825,579.698,745.3,0.301332,0.0970578,-1,-1,1,1
data/roadNet-CA.txt,rcm,1965206,5533214,2.81559,120676,986.857,423.976,477.956,625.324,566.459,751.742,0.340425,0.0632417,-1,-1,1,1
data/roadNet-CA.txt,degree,1965206,5533214,2.81559,120676,1205.45,572.71,617.869,804.713,582.695,749.126,0.442078,0.0970578,-1,-1,1,1
data/email-Enron.txt,natural,36692,367662,10.0202,727044,1221.02,542.225,390.59,418.121,107.742,119.498,0.806213,0.761098,-1,-1,1,1
data/email-Enron.txt,rcm,36692,367662,10.0202,727044,1255.64,696.171,396.837,414.687,108.021,119.287,0.848334,0.760265,-1,-1,1,1
data/email-Enron.txt,degree,36692,367662,10.0202,727044,1375.08,747.949,466.075,488.282,107.889,119.908,0.865289,0.761098,-1,-1,1,1
gen:band:20000:16,natural,20000,639728,31.9864,2398640,310.27,165.072,164.658,179.793,88.5354,105.276,0.937477,0.875047,-1,-1,1,1
gen:band:20000:16,rcm,20000,639728,31.9864,2398640,310.314,165.193,164.511,179.692,88.5679,105.29,0.937477,0.875047,-1,-1,1,1
gen:band:20000:16,degree,20000,639728,31.9864,2398640,309.724,165.278,164.913,179.985,88.5123,105.371,0.93748,0.875047,-1,-1,1,1
gen:ba:20000:8,natural,20000,319124,15.9562,9814,557.592,225.151,212.336,235.804,58.0513,69.4644,0.874663,0.761478,-1,-1,1,1
gen:ba:20000:8,rcm,20000,319124,15.9562,9814,520.901,225.233,184.183,202.658,58.142,69.7217,0.890481,0.759431,-1,-1,1,1
gen:ba:20000:8,degree,20000,319124,15.9562,9814,554.689,235.274,206.097,221.994,58.4594,69.4241,0.907484,0.761478,-1,-1,1,1
