graph,ordering,n,nnz,avg_deg,triangles,t_masked_gustavson_ms,t_edge_merge_ms,t_edge_gallop_ms,t_edge_finger_ms,t_cf_gallop_ms,t_cf_finger_ms,rewind_rate_edge_finger,rewind_rate_cf_finger,t_edge_finger_par_ms,t_cf_finger_par_ms,threads,counts_all_equal
data/roadNet-CA.txt,natural,1965206,5533214,2.81559,120676,73.2957,40.2218,39.8875,48.4264,33.2543,37.0907,0.301332,0.0970578,25.8727,27.0574,2,1
data/roadNet-CA.txt,rcm,1965206,5533214,2.81559,120676,68.4366,31.7117,31.3063,37.2652,30.9715,32.7565,0.340451,0.0632263,19.5792,24.441,2,1
data/roadNet-CA.txt,degree,1965206,5533214,2.81559,120676,74.1303,46.1238,44.866,56.0215,33.6884,38.1335,0.442078,0.0970578,31.5123,27.6641,2,1
data/email-Enron.txt,natural,36692,367662,10.0202,727044,62.5141,58.2381,55.9135,58.2888,14.3148,16.2573,0.806213,0.761098,57.8332,15.9377,2,1
data/email-Enron.txt,rcm,36692,367662,10.0202,727044,90.0134,71.0356,58.6644,61.1042,14.1997,16.2641,0.846669,0.760282,57.9946,16.0695,2,1
data/email-Enron.txt,degree,36692,367662,10.0202,727044,89.0048,75.3953,63.9606,66.808,14.2318,16.1605,0.865289,0.761098,65.958,16.1341,2,1
gen:band:20000:16,natural,20000,639728,31.9864,2398640,10.6305,7.66871,6.03325,7.57196,3.77442,4.39075,0.937477,0.875047,3.99458,3.23654,2,1
gen:band:20000:16,rcm,20000,639728,31.9864,2398640,10.5139,7.08146,5.92612,7.50563,3.84413,4.71096,0.937477,0.875047,3.64271,2.90121,2,1
gen:band:20000:16,degree,20000,639728,31.9864,2398640,10.4399,7.13958,5.97092,7.37383,3.84467,4.44512,0.93748,0.875047,4.00638,3.40867,2,1
gen:ba:20000:8,natural,20000,319032,15.9516,9894,22.4491,23.919,22.972,24.5207,5.92692,7.52779,0.874627,0.767393,23.5873,4.24413,2,1
gen:ba:20000:8,rcm,20000,319032,15.9516,9894,22.1744,25.2245,21.9665,24.005,6.18933,7.51187,0.890356,0.765777,12.1915,4.58533,2,1
gen:ba:20000:8,degree,20000,319032,15.9516,9894,22.2445,25.1038,23.6513,25.4172,6.1815,7.64513,0.907664,0.767393,17.2703,4.80029,2,1
