graph,ordering,n,nnz,avg_deg,triangles,t_masked_gustavson_ms,t_edge_merge_ms,t_edge_gallop_ms,t_edge_finger_ms,t_cf_gallop_ms,t_cf_finger_ms,rewind_rate_edge_finger,rewind_rate_cf_finger,t_edge_finger_par_ms,t_cf_finger_par_ms,threads,counts_all_equal
data/roadNet-CA.txt,natural,1965206,5533214,2.81559,120676,77.7802,40.4271,40.0385,48.3378,33.4333,36.7938,0.301332,0.0970578,-1,-1,1,1
data/roadNet-CA.txt,rcm,1965206,5533214,2.81559,120676,67.8733,32.0718,30.4628,36.8442,30.4012,31.4913,0.340451,0.0632263,-1,-1,1,1
data/roadNet-CA.txt,degree,1965206,5533214,2.81559,120676,72.9295,45.5427,46.1348,55.1448,33.5714,37.3328,0.442078,0.0970578,-1,-1,1,1
data/email-Enron.txt,natural,36692,367662,10.0202,727044,62.8622,58.1863,55.6679,58.277,14.0183,16.1576,0.806213,0.761098,-1,-1,1,1
data/email-Enron.txt,rcm,36692,367662,10.0202,727044,89.1287,71.8596,58.2485,60.7521,14.2289,16.2823,0.846669,0.760282,-1,-1,1,1
data/email-Enron.txt,degree,36692,367662,10.0202,727044,87.5558,73.7787,63.5633,65.568,14.2253,16.1808,0.865289,0.761098,-1,-1,1,1
gen:band:20000:16,natural,20000,639728,31.9864,2398640,10.4277,7.34021,5.9315,7.114,3.70283,4.49792,0.937477,0.875047,-1,-1,1,1
gen:band:20000:16,rcm,20000,639728,31.9864,2398640,10.2405,7.25775,6.09433,7.11763,3.82037,4.43363,0.937477,0.875047,-1,-1,1,1
gen:band:20000:16,degree,20000,639728,31.9864,2398640,10.4238,7.07842,6.05046,7.47708,4.29488,4.66737,0.93748,0.875047,-1,-1,1,1
gen:ba:20000:8,natural,20000,319032,15.9516,9894,22.6445,23.0305,22.9883,24.472,6.28204,7.46883,0.874627,0.767393,-1,-1,1,1
gen:ba:20000:8,rcm,20000,319032,15.9516,9894,21.6181,25.6928,21.8931,23.857,5.88379,7.41742,0.890356,0.765777,-1,-1,1,1
gen:ba:20000:8,degree,20000,319032,15.9516,9894,21.7858,25.8383,23.6145,25.3808,6.505,7.82083,0.907664,0.767393,-1,-1,1,1
