graph,ordering,n,nnz,avg_deg,graph_fingerprint,triangles,t_masked_gustavson_ms,t_edge_merge_ms,t_edge_gallop_ms,t_edge_finger_ms,t_cf_gallop_ms,t_cf_finger_ms,rewind_rate_edge_finger,rewind_rate_cf_finger,t_edge_finger_par_ms,t_cf_finger_par_ms,threads,counts_all_equal
data/roadNet-CA.txt,natural,1965206,5533214,2.81559,c0d6898a551b5f71,120676,70.3906,37.751,38.3945,45.6304,32.7358,36.4213,0.301332,0.0970578,24.5241,25.6981,2,1
data/roadNet-CA.txt,rcm,1965206,5533214,2.81559,2b2dc7048d669b1d,120676,68.2551,31.5265,30.8661,37.2419,28.9573,32.4287,0.340433,0.0631623,19.4676,22.9883,2,1
data/roadNet-CA.txt,degree,1965206,5533214,2.81559,f463019820d39d25,120676,70.8434,44.0943,43.8803,54.4505,31.9567,36.5154,0.442078,0.0970578,30.8035,26.0759,2,1
data/email-Enron.txt,natural,36692,367662,10.0202,e020b121d9c2b4d3,727044,61.777,56.2459,55.5915,58.176,13.8942,16.0242,0.806213,0.761098,57.4035,15.8385,2,1
data/email-Enron.txt,rcm,36692,367662,10.0202,e38608b47f89367c,727044,88.0042,71.9714,58.2902,60.782,13.8751,15.9943,0.845184,0.760199,58.3035,15.7337,2,1
data/email-Enron.txt,degree,36692,367662,10.0202,74f834feab920ee2,727044,88.434,76.9933,63.7219,65.7256,14.298,16.3197,0.865289,0.761098,65.2809,16.0303,2,1
gen:band:20000:16,natural,20000,639728,31.9864,b30d25a2bad1087d,2398640,10.48,7.20483,6.16129,7.36596,3.79688,4.66387,0.937477,0.875047,3.70254,2.96408,2,1
gen:band:20000:16,rcm,20000,639728,31.9864,b30d25a2bad1087d,2398640,10.638,7.45396,6.03992,7.36208,3.53254,4.16113,0.937477,0.875047,3.67042,2.97767,2,1
gen:band:20000:16,degree,20000,639728,31.9864,ad0635daa09b2cdc,2398640,10.5646,7.45175,6.21525,7.86971,3.56017,4.81783,0.93748,0.875047,3.76296,3.048,2,1
gen:ba:20000:8,natural,20000,319122,15.9561,fa917d3836e2f882,10435,22.8004,24.3222,23.3252,24.6585,5.96913,7.50942,0.874662,0.762247,23.493,4.88858,2,1
gen:ba:20000:8,rcm,20000,319122,15.9561,111d911aeab252f1,10435,21.8126,24.961,22.2885,24.0629,5.97754,7.29408,0.890236,0.760198,12.4328,4.85442,2,1
gen:ba:20000:8,degree,20000,319122,15.9561,48cbb89653758b18,10435,21.977,25.5268,23.8044,25.1983,5.89363,7.41454,0.90786,0.762247,17.2569,4.66496,2,1
