graph,ordering,n,nnz,avg_deg,graph_fingerprint,triangles,t_masked_gustavson_ms,t_edge_merge_ms,t_edge_gallop_ms,t_edge_finger_ms,t_cf_gallop_ms,t_cf_finger_ms,rewind_rate_edge_finger,rewind_rate_cf_finger,t_edge_finger_par_ms,t_cf_finger_par_ms,threads,counts_all_equal
data/roadNet-CA.txt,natural,1965206,5533214,2.81559,c0d6898a551b5f71,120676,72.553,38.3859,39.4775,48.4301,35.3596,37.5224,0.301332,0.0970578,14.3277,23.1363,4,1
data/roadNet-CA.txt,rcm,1965206,5533214,2.81559,2b2dc7048d669b1d,120676,69.1552,32.0108,31.5072,37.954,29.6498,33.5856,0.340433,0.0631623,11.7076,20.7889,4,1
data/roadNet-CA.txt,degree,1965206,5533214,2.81559,f463019820d39d25,120676,73.3396,43.9856,44.8376,56.1093,33.0352,35.9663,0.442078,0.0970578,19.2601,22.9115,4,1
data/email-Enron.txt,natural,36692,367662,10.0202,e020b121d9c2b4d3,727044,62.4134,56.3679,55.9337,58.2845,13.7978,16.052,0.806213,0.761098,56.7503,14.9791,4,1
data/email-Enron.txt,rcm,36692,367662,10.0202,e38608b47f89367c,727044,89.0338,71.973,58.4028,61.2864,14.2342,16.4478,0.845184,0.760199,46.4502,15.3914,4,1
data/email-Enron.txt,degree,36692,367662,10.0202,74f834feab920ee2,727044,89.5066,76.387,64.3512,66.5154,14.2319,16.53,0.865289,0.761098,63.4608,15.1649,4,1
gen:band:20000:16,natural,20000,639728,31.9864,b30d25a2bad1087d,2398640,10.5355,7.24125,6.20675,7.20017,3.83329,4.48429,0.937477,0.875047,2.10792,2.46238,4,1
gen:band:20000:16,rcm,20000,639728,31.9864,b30d25a2bad1087d,2398640,10.516,7.12646,6.24258,7.35383,3.85108,4.50975,0.937477,0.875047,2.09454,2.19929,4,1
gen:band:20000:16,degree,20000,639728,31.9864,ad0635daa09b2cdc,2398640,10.5508,7.20662,6.19613,7.49212,3.83833,4.47929,0.93748,0.875047,2.0825,2.13071,4,1
gen:ba:20000:8,natural,20000,319122,15.9561,fa917d3836e2f882,10435,22.7432,22.9177,23.6983,25.0804,6.0515,7.24092,0.874662,0.762247,21.3317,2.73921,4,1
gen:ba:20000:8,rcm,20000,319122,15.9561,111d911aeab252f1,10435,22.0608,24.9452,21.9584,23.8069,5.95012,7.42612,0.890236,0.760198,7.41629,2.69079,4,1
gen:ba:20000:8,degree,20000,319122,15.9561,48cbb89653758b18,10435,22.3746,25.4996,23.7915,25.3864,6.00192,7.51617,0.90786,0.762247,12.1113,2.72946,4,1
