graph,ordering,n,nnz,avg_deg,graph_fingerprint,triangles,t_masked_gustavson_ms,t_edge_merge_ms,t_edge_gallop_ms,t_edge_finger_ms,t_cf_gallop_ms,t_cf_finger_ms,rewind_rate_edge_finger,rewind_rate_cf_finger,t_edge_finger_par_ms,t_cf_finger_par_ms,threads,counts_all_equal
data/roadNet-CA.txt,natural,1965206,5533214,2.81559,c0d6898a551b5f71,120676,68.9313,37.7672,38.333,46.053,31.552,35.2725,0.301332,0.0970578,-1,-1,1,1
data/roadNet-CA.txt,rcm,1965206,5533214,2.81559,2b2dc7048d669b1d,120676,67.0605,31.3243,30.5124,36.0247,28.7576,31.1352,0.340433,0.0631623,-1,-1,1,1
data/roadNet-CA.txt,degree,1965206,5533214,2.81559,f463019820d39d25,120676,69.8743,43.8861,44.215,53.5995,31.4798,34.753,0.442078,0.0970578,-1,-1,1,1
data/email-Enron.txt,natural,36692,367662,10.0202,e020b121d9c2b4d3,727044,61.222,57.6087,55.58,58.2548,14.0352,16.067,0.806213,0.761098,-1,-1,1,1
data/email-Enron.txt,rcm,36692,367662,10.0202,e38608b47f89367c,727044,87.0349,73.139,58.361,60.9427,13.9775,16.1395,0.845184,0.760199,-1,-1,1,1
data/email-Enron.txt,degree,36692,367662,10.0202,74f834feab920ee2,727044,87.7391,75.6649,63.466,65.5268,13.9994,15.975,0.865289,0.761098,-1,-1,1,1
gen:band:20000:16,natural,20000,639728,31.9864,b30d25a2bad1087d,2398640,10.4053,6.85367,5.9995,7.12467,3.661,4.52262,0.937477,0.875047,-1,-1,1,1
gen:band:20000:16,rcm,20000,639728,31.9864,b30d25a2bad1087d,2398640,10.4245,7.06471,5.98738,7.58233,3.58083,4.30958,0.937477,0.875047,-1,-1,1,1
gen:band:20000:16,degree,20000,639728,31.9864,ad0635daa09b2cdc,2398640,10.4034,6.98238,6.00704,7.12533,3.59829,4.30321,0.93748,0.875047,-1,-1,1,1
gen:ba:20000:8,natural,20000,319122,15.9561,fa917d3836e2f882,10435,22.5685,22.8768,22.9853,24.4653,5.96417,7.30921,0.874662,0.762247,-1,-1,1,1
gen:ba:20000:8,rcm,20000,319122,15.9561,111d911aeab252f1,10435,21.9003,24.9823,21.9022,23.8864,5.91083,7.46033,0.890236,0.760198,-1,-1,1,1
gen:ba:20000:8,degree,20000,319122,15.9561,48cbb89653758b18,10435,21.7436,25.501,23.6692,25.1964,5.71592,7.16763,0.90786,0.762247,-1,-1,1,1
