graph,ordering,n,nnz,avg_deg,graph_fingerprint,triangles,t_masked_gustavson_ms,t_edge_merge_ms,t_edge_gallop_ms,t_edge_finger_ms,t_cf_gallop_ms,t_cf_finger_ms,rewind_rate_edge_finger,rewind_rate_cf_finger,t_edge_finger_par_ms,t_cf_finger_par_ms,threads,counts_all_equal
data/roadNet-CA.txt,natural,1965206,5533214,2.81559,c0d6898a551b5f71,120676,800.242,453.375,502.534,638.74,582.507,749.616,0.301332,0.0970578,-1,-1,1,1
data/roadNet-CA.txt,rcm,1965206,5533214,2.81559,2b2dc7048d669b1d,120676,932.274,418.577,474.038,612.657,565.478,744.745,0.340433,0.0631623,-1,-1,1,1
data/roadNet-CA.txt,degree,1965206,5533214,2.81559,f463019820d39d25,120676,1204.54,571.339,617.404,806.425,583.405,748.648,0.442078,0.0970578,-1,-1,1,1
data/email-Enron.txt,natural,36692,367662,10.0202,e020b121d9c2b4d3,727044,1211.43,541.694,395.216,419.103,108.84,120.64,0.806213,0.761098,-1,-1,1,1
data/email-Enron.txt,rcm,36692,367662,10.0202,e38608b47f89367c,727044,1248.17,713.012,396.762,413.314,108.874,120.461,0.845184,0.760199,-1,-1,1,1
data/email-Enron.txt,degree,36692,367662,10.0202,74f834feab920ee2,727044,1379.68,748.39,468.155,492.767,108.719,120.671,0.865289,0.761098,-1,-1,1,1
